id,Sex,Length,Diameter,Height,Weight,Shucked Weight,Viscera Weight,Shell Weight,Age
314,I,0.975,0.725,0.25,7.314171,3.24601775,1.28990225,2.1262125,6.0
315,M,1.6,1.2,0.4125,35.550273,14.35902175,8.6465975,9.922325,9.0
316,F,1.55,1.1875,0.475,34.60056475,17.81766075,7.3992195,9.2135875,13.0
317,F,1.4125,1.1375,0.3875,23.91280325,9.85145125,4.9044635,7.087375,12.0
318,F,1.4125,1.1,0.4,27.93843225,11.01378075,5.79747275,7.37087,16.0
319,M,0.925,0.7375,0.25,7.6260155,3.288542,1.7860185,2.1262125,12.0
320,I,0.7,0.5,0.175,3.38776525,1.54504775,0.75126175,0.9922325,7.0
321,M,1.4625,1.1625,0.4125,27.499015,13.9763035,5.3013565,7.37087,11.0
322,M,0.925,0.6875,0.2,6.917278,2.778251,1.757669,2.1262125,8.0
323,F,1.6125,1.275,0.45,34.3312445,16.82542825,7.75358825,11.056305,11.0
324,M,1.625,1.25,0.425,38.93803825,16.11669075,8.57572375,10.0073735,10.0
325,I,0.9625,0.725,0.225,7.12989925,3.44446425,1.7293195,2.551455,7.0
326,I,0.9125,0.675,0.2125,5.556502,2.721552,1.20485375,1.814368,6.0
327,I,0.8,0.6,0.2125,4.819415,2.05533875,1.1056305,1.2190285,6.0
328,F,1.225,0.9625,0.35,17.36406875,6.7188315,4.26659975,4.819415,10.0
329,F,1.425,1.175,0.35,25.86891875,10.5176645,6.2085405,7.654365,10.0
330,M,1.35,1.0375,0.35,25.287754,11.35397475,4.29494925,7.7961125,10.0
331,M,1.175,0.9,0.25,12.74310025,4.63514325,2.948348,3.78465825,9.0
332,F,1.525,1.175,0.375,28.64716975,12.3320325,7.597666,8.6465975,9.0
333,F,1.675,1.2875,0.4625,45.3875495,22.55202725,9.525432,11.1980525,13.0
334,M,1.4875,1.1625,0.4,29.13687875,12.0485375,8.561549,8.50485,10.0
335,I,0.8375,0.65,0.225,5.1312595,2.42388225,1.13398,1.984465,6.0
336,I,1.0125,0.775,0.225,11.55242125,5.08873525,1.88524175,2.4097075,8.0
337,M,1.45,1.125,0.3875,27.08794725,9.28446125,6.76135575,8.3631025,11.0
338,M,1.5375,1.2375,0.4375,38.51279575,18.83824275,9.525432,9.07184,10.0
339,I,0.9375,0.7,0.2,6.13766675,2.7499015,1.09145575,1.984465,6.0
340,I,1.175,0.925,0.3,12.984071,5.443104,3.1467945,4.1106775,9.0
341,I,0.7,0.5125,0.2,3.81300775,1.871067,0.60951425,0.850485,5.0
342,F,1.575,1.2625,0.4,31.56716825,11.736693,5.99591925,11.3398,14.0
343,F,1.6,1.25,0.3875,41.00755175,17.42076775,8.448151,11.056305,13.0
344,F,1.0125,0.85,0.275,10.56018875,4.9044635,2.31048425,3.118445,8.0
345,I,1.3375,1.05,0.35,17.95940825,6.16601625,3.6003865,6.16601625,10.0
346,I,0.45,0.3125,0.1375,0.66621325,0.35436875,0.2551455,0.2551455,4.0
347,M,1.15,0.9375,0.2875,13.777857,5.4147545,3.061746,4.819415,10.0
348,F,1.575,1.25,0.4125,32.545226,14.7133905,6.917278,10.489315,9.0
349,I,0.9875,0.75,0.225,9.93649975,4.0539785,1.88524175,2.5798045,7.0
350,M,1.5625,1.225,0.4125,31.127751,12.77144975,6.67630725,9.7805775,13.0
351,F,1.475,1.2125,0.4125,28.64716975,10.489315,6.690482,11.056305,14.0
352,I,0.8375,0.65,0.2125,5.556502,1.984465,1.06310625,1.7860185,6.0
353,F,1.6125,1.225,0.4375,37.1094955,15.478827,7.0023265,9.19941275,24.0
354,F,1.775,1.425,0.5125,53.4388075,26.932025,11.2547515,12.85649825,11.0
355,M,1.4375,1.15,0.375,26.138239,11.679994,5.726599,8.50485,14.0
356,F,1.75,1.3125,0.5,50.6605565,22.69377475,9.525432,11.056305,12.0
357,I,1.0,0.775,0.25,8.901743,3.912231,1.80019325,2.6365035,7.0
358,I,1.3,1.0,0.3625,21.55979475,11.07047975,4.4508715,5.2446575,8.0
359,M,1.725,1.325,0.45,44.55123925,19.220961,8.8166945,12.45960525,10.0
360,F,1.3625,1.0125,0.375,28.22192725,10.8578585,6.87475375,7.5126175,19.0
361,I,1.075,0.8125,0.2875,10.33339275,5.9250455,2.25378525,2.9766975,8.0
362,I,0.875,0.6625,0.225,5.5848515,2.2396105,1.03475675,1.8427175,7.0
363,F,1.5125,1.175,0.3625,31.48211975,13.154168,6.93145275,6.23689,9.0
364,M,1.6125,1.25,0.375,34.60056475,17.42076775,7.18659825,9.355335,10.0
365,M,1.3,1.0,0.3125,14.628342,5.37223025,3.89805625,4.819415,9.0
366,F,1.625,1.25,0.45,38.725417,16.68368075,6.463686,12.757275,10.0
367,F,1.6375,1.2875,0.4,34.58639,13.70698325,8.43397625,9.7805775,14.0
368,F,1.3125,0.975,0.3625,20.6100865,8.2497045,4.6209685,5.5281525,9.0
369,I,1.0125,0.7875,0.225,9.63883,4.932813,1.8994165,2.9199985,8.0
370,M,1.475,1.125,0.4125,32.545226,15.252031,6.917278,8.6465975,9.0
371,M,1.475,1.175,0.3875,28.02348075,13.097469,6.23689,8.3631025,11.0
372,F,1.8375,1.4125,0.4375,56.82657275,23.71435675,11.52407175,14.74174,11.0
373,F,1.1875,0.975,0.3375,15.5071765,5.6699,3.30271675,4.819415,8.0
374,M,1.25,1.025,0.35,20.25571775,7.49844275,4.139027,6.9456275,13.0
375,M,1.6375,1.25,0.4,36.3157095,17.61921425,8.85921875,10.44679075,8.0
376,I,1.1125,0.875,0.3,11.55242125,4.03980375,2.5231055,3.40194,8.0
377,I,0.9,0.675,0.2125,6.39281225,3.01922175,1.1056305,1.7293195,6.0
378,M,1.4875,1.1875,0.425,37.32211675,15.762322,7.711064,11.01378075,11.0
379,I,1.3125,0.9875,0.3125,16.71203025,7.484268,3.7137845,4.762716,9.0
380,M,0.925,0.6875,0.2125,5.8116475,2.11203775,1.34660125,1.984465,10.0
381,F,1.6875,1.3625,0.4625,45.91201525,18.83824275,9.128539,13.25339125,14.0
382,M,1.575,1.2375,0.475,37.4610075,17.3215445,9.8372765,10.61688775,9.0
383,M,1.5875,1.275,0.45,32.998818,10.41844125,7.6827145,11.01378075,13.0
384,F,1.6,1.25,0.4125,30.40483875,12.927372,7.29999625,8.0796075,11.0
385,F,1.3125,1.0125,0.375,20.41164,7.78193775,4.9044635,5.5281525,9.0
386,F,1.125,0.8,0.35,13.551061,5.82582225,2.9766975,3.8271825,8.0
387,F,1.4,1.125,0.3125,24.76328825,11.736693,4.26659975,7.37087,12.0
388,F,1.6625,1.3,0.475,40.69570725,17.73261225,7.75358825,11.3398,9.0
389,M,1.175,0.9,0.3,15.2236815,6.860579,3.75630875,4.139027,11.0
390,M,1.575,1.2,0.3375,30.957654,12.587178,6.19436575,10.489315,15.0
391,M,1.5,1.1875,0.375,29.9087225,12.23280925,6.2652395,8.9300925,11.0
392,I,0.675,0.5125,0.1625,3.345241,1.587572,0.66621325,0.850485,5.0
393,F,1.5625,1.2125,0.4375,37.98833,17.08057375,9.015141,9.4970825,9.0
394,M,1.275,1.0,0.3375,20.0430965,7.92368525,4.55009475,7.12989925,9.0
395,I,1.2875,0.9875,0.3125,17.6617385,8.74582075,3.61456125,5.2446575,9.0
396,M,1.5,1.2,0.4375,34.5013415,17.73261225,7.35669525,9.63883,10.0
397,M,1.375,1.075,0.35,20.96445525,8.34892775,4.8477645,6.3786375,15.0
398,M,1.6125,1.3125,0.45,37.37881575,17.6050395,7.78193775,9.7805775,13.0
399,I,0.9,0.675,0.2125,5.20213325,2.211261,0.86465975,1.8427175,6.0
400,F,1.4375,1.0875,0.4125,24.777463,9.48290775,5.82582225,7.7961125,8.0
401,M,1.125,0.875,0.3125,15.3937785,5.71242425,3.33106625,5.386405,10.0
402,I,0.8125,0.625,0.2,4.80524025,2.1829115,1.06310625,1.70097,5.0
403,M,1.425,1.125,0.3375,23.700182,9.6104805,5.896696,5.5281525,9.0
404,M,1.55,1.2875,0.4125,35.42270025,17.08057375,8.68912175,9.39785925,10.0
405,F,1.6,1.2625,0.425,38.14425225,17.73261225,7.75358825,11.056305,12.0
406,M,1.4625,1.1625,0.425,31.19862475,10.546014,6.36446275,10.6310625,19.0
407,I,0.75,0.575,0.2,3.55786225,1.360776,0.75126175,1.14815475,7.0
408,I,0.8375,0.625,0.2,4.80524025,2.26796,0.737087,1.43164975,6.0
409,I,0.975,0.725,0.2375,9.19941275,4.32329875,1.6726205,2.26796,6.0
410,M,1.55,1.2125,0.425,36.3157095,16.82542825,8.49067525,9.7805775,11.0
411,M,1.2125,0.95,0.4125,21.6873675,7.35669525,4.5075705,7.2291225,9.0
412,I,1.05,0.8125,0.25,11.3398,4.66349275,1.80019325,2.9766975,8.0
413,M,1.3875,1.1,0.3625,28.8314415,14.5999925,5.6699,6.520385,10.0
414,I,1.125,0.825,0.2625,11.09882925,4.63514325,2.5231055,3.8271825,8.0
415,F,1.5375,1.2,0.4125,30.43318825,11.77921725,6.4353365,10.489315,16.0
416,I,0.8875,0.6,0.2125,4.9044635,1.7860185,1.077281,1.417475,6.0
417,F,1.3625,1.075,0.4,23.28911425,11.69416875,5.0178615,6.87475375,8.0
418,I,0.7125,0.525,0.175,2.83495,1.020582,0.52446575,0.9922325,5.0
419,M,1.5875,1.2375,0.475,45.99706375,17.67591325,9.3836845,12.8990225,14.0
420,F,1.6375,1.3125,0.425,39.2640575,17.70426275,8.66077225,11.4815475,11.0
421,M,1.6375,1.2875,0.4625,40.92250325,17.42076775,9.695529,12.6155275,17.0
422,F,1.525,1.125,0.425,29.653577,12.03436275,5.613201,10.489315,14.0
423,I,1.3125,1.0625,0.3625,22.2543575,9.05766525,5.03203625,6.6621325,9.0
424,F,1.675,1.3125,0.4375,47.89648025,20.36911575,12.48795475,10.02154825,10.0
425,I,0.7,0.525,0.1625,3.40194,1.17650425,0.52446575,1.1623295,7.0
426,F,1.5125,1.2,0.4375,33.849303,14.92601175,8.391452,9.07184,12.0
427,M,1.4,1.1,0.375,30.14969325,13.11164375,5.329706,7.7961125,10.0
428,M,0.9625,0.75,0.25,7.41339425,3.061746,1.51669825,1.984465,21.0
429,M,1.3,1.0125,0.3625,24.777463,7.55514175,6.8889285,7.37087,10.0
430,M,1.575,1.275,0.4375,36.27318525,16.25843825,6.577084,12.190285,12.0
431,F,1.8,1.4375,0.525,57.606184,20.581737,11.566596,17.27902025,11.0
432,I,0.6375,0.55,0.1875,3.24601775,1.6726205,0.80796075,0.7087375,6.0
433,M,1.625,1.275,0.4125,44.4803655,20.638436,10.81533425,10.3475675,13.0
434,F,1.45,1.15,0.4375,27.00289875,10.6877615,6.22271525,8.3631025,10.0
435,I,0.775,0.5625,0.1875,3.40194,1.17650425,0.97805775,1.13398,6.0
436,I,0.875,0.65,0.2125,5.5848515,2.0128145,0.97805775,1.70097,3.0
437,F,1.5125,1.1875,0.4125,30.1922175,12.417081,5.74077375,9.07184,11.0
438,M,1.2875,0.925,0.3125,15.74814725,7.04485075,3.64291075,4.1106775,9.0
439,M,1.2,0.95,0.3,17.02387475,7.10154975,4.025629,6.39281225,9.0
440,M,1.6125,1.2625,0.475,36.72677725,18.52639825,8.00873375,10.3475675,11.0
441,I,0.6375,0.4875,0.175,2.48058125,0.75126175,0.43941725,0.69456275,5.0
442,M,1.45,1.125,0.375,24.13959925,9.28446125,5.2446575,6.80388,9.0
443,F,1.3625,1.075,0.4125,23.530085,11.72251825,4.60679375,6.520385,8.0
444,F,1.5,1.2125,0.4375,33.5941575,11.8217415,7.3992195,11.623295,21.0
445,F,1.5875,1.2,0.4125,38.612019,18.5122235,7.41339425,9.59630575,10.0
446,M,1.55,1.2125,0.4375,38.90968875,20.73765925,7.427569,11.3398,13.0
447,M,1.4875,1.1625,0.4125,27.68328675,11.80756675,6.350288,8.788345,8.0
448,F,1.1625,0.9375,0.3125,16.68368075,7.087375,3.72795925,5.386405,8.0
449,M,1.525,1.2125,0.475,32.16250775,14.6566915,7.200773,8.9300925,9.0
450,I,1.3125,0.9875,0.3125,19.74542675,9.8372765,3.742134,5.386405,8.0
451,I,1.0125,0.7625,0.25,7.994559,3.1467945,1.6159215,2.26796,7.0
452,M,1.5,1.1875,0.3875,40.63900825,16.386011,8.391452,7.04485075,10.0
453,I,1.0,0.75,0.225,8.107957,3.69960975,2.041164,2.494756,10.0
454,M,1.5625,1.2,0.4875,34.6147395,11.9351395,7.4559185,9.2135875,13.0
455,I,0.5375,0.375,0.0,1.09145575,0.43941725,0.226796,0.35436875,4.0
456,M,1.475,1.1625,0.375,29.0582375,11.6516445,6.80388,8.788345,10.0
457,M,1.625,1.2375,0.4375,34.6147395,14.16057525,7.18659825,11.056305,16.0
458,I,0.725,0.525,0.2,3.55786225,1.587572,0.680388,0.850485,8.0
459,F,1.4625,1.0625,0.3625,26.83280175,13.19669225,6.5487345,7.087375,8.0
460,M,1.5375,1.1875,0.4625,34.8415355,13.4660125,6.293589,10.3475675,17.0
461,I,0.9625,0.75,0.25,7.44174375,3.44446425,1.927766,2.551455,7.0
462,F,1.55,1.2125,0.35,31.18445,14.35902175,6.4353365,8.34892775,9.0
463,M,1.325,1.05,0.375,24.664065,11.38232425,6.8889285,7.2291225,8.0
464,F,1.6,1.3,0.425,36.61337925,18.24290325,8.43397625,8.50485,9.0
465,I,1.3,1.1,0.35,26.26581175,10.6310625,4.86193925,8.3631025,21.0
466,M,1.4,1.125,0.375,24.79163775,12.54465375,4.89028875,6.23689,10.0
467,M,1.125,0.875,0.275,12.360382,4.9611625,2.96252275,3.96893,12.0
468,M,0.925,0.725,0.2375,6.33611325,2.31048425,1.48834875,2.26796,8.0
469,M,0.8375,0.6625,0.225,5.10291,2.721552,1.020582,1.417475,6.0
470,F,1.625,1.2875,0.3875,39.02308675,16.4710595,9.05766525,10.0640725,10.0
471,I,0.875,0.675,0.1875,5.31553125,2.19708625,0.86465975,1.8427175,5.0
472,M,1.7,1.3125,0.425,38.73959175,18.12950525,8.2497045,10.3475675,9.0
473,M,1.675,1.3,0.4125,38.03085425,18.5689225,7.427569,10.6310625,10.0
474,F,1.6625,1.3,0.45,49.54075125,19.6462035,9.8372765,14.74174,14.0
475,I,0.7375,0.55,0.1875,3.64291075,1.644271,1.3324265,1.417475,5.0
476,M,1.225,0.9375,0.3125,16.9813505,7.24329725,4.2240755,4.7910655,8.0
477,M,1.675,1.3125,0.5,44.9906565,17.2081465,11.396499,11.623295,25.0
478,M,1.5875,1.2,0.5125,37.98833,16.612807,9.128539,9.4970825,10.0
479,F,1.775,1.4125,0.5,53.6656035,26.705229,11.226402,12.6155275,11.0
480,F,1.1875,0.9375,0.3125,14.571643,5.40057975,3.231843,4.819415,10.0
481,F,1.5375,1.175,0.3875,29.41260625,11.793392,5.499803,8.40562675,13.0
482,I,0.875,0.6375,0.2,5.10291,2.2963095,1.1623295,1.70097,6.0
483,M,1.3,1.0625,0.3625,24.28134675,10.432616,4.8477645,7.93786,9.0
484,M,1.375,1.075,0.4125,24.30969625,8.34892775,5.93922025,7.7961125,10.0
485,F,1.6375,1.3125,0.475,48.20832475,17.463292,10.24834425,15.4504775,16.0
486,I,1.2125,0.9125,0.325,12.82814875,4.63514325,2.9766975,4.53592,7.0
487,M,1.475,1.1875,0.3875,28.33532525,12.47378,5.40057975,8.788345,9.0
488,I,1.2125,0.95,0.2625,15.025235,7.10154975,3.64291075,4.9611625,8.0
489,F,1.6,1.25,0.4125,41.00755175,19.674553,8.448151,10.64523725,12.0
490,I,1.275,1.0125,0.3125,17.61921425,8.561549,3.0333965,5.5281525,8.0
491,F,1.525,1.175,0.4125,29.256684,13.60776,6.747181,8.9300925,9.0
492,M,1.5125,1.2375,0.4375,31.808139,11.4248485,6.25106475,10.20582,10.0
493,F,1.325,1.0875,0.3375,19.43358225,8.334753,4.082328,7.2291225,10.0
494,M,1.5,1.2125,0.4875,31.51046925,13.79203175,7.654365,9.4970825,13.0
495,I,1.4375,1.125,0.35,20.76600875,9.68135425,4.26659975,6.23689,10.0
496,I,0.9375,0.6875,0.2,6.90310325,3.061746,1.37495075,1.984465,6.0
497,F,1.3,1.0,0.2875,18.767369,8.60407325,4.57844425,4.9611625,9.0
498,I,1.3875,1.0625,0.3625,21.38969775,9.695529,4.3374735,5.9250455,9.0
499,M,1.4,1.1,0.4125,25.51455,11.12717875,5.62737575,7.087375,9.0
500,F,1.425,1.1375,0.4375,31.581343,15.2803805,6.59125875,7.93786,10.0
501,I,1.325,1.05,0.325,20.0997955,9.922325,4.60679375,5.40057975,8.0
502,I,1.1875,0.925,0.35,17.70426275,8.6465975,4.09650275,5.5281525,9.0
503,M,1.2875,0.9875,0.3,16.6978555,7.92368525,3.33106625,4.9611625,8.0
504,M,1.5125,1.125,0.4375,23.88445375,10.36174225,4.9044635,6.39281225,9.0
505,I,0.9875,0.7125,0.2375,6.98815175,3.27436725,1.34660125,2.05533875,7.0
506,I,0.95,0.75,0.225,8.66077225,4.0539785,1.757669,2.4097075,6.0
507,F,1.3375,1.0375,0.35,27.34309275,9.87980075,4.7910655,8.9300925,14.0
508,I,0.8375,0.5875,0.2125,4.7910655,1.871067,0.97805775,1.70097,6.0
509,I,1.525,1.25,0.425,31.2127995,11.15552825,6.13766675,9.922325,13.0
510,F,1.4375,1.125,0.3875,25.4295015,10.149121,6.08096775,8.221355,11.0
511,I,0.625,0.4625,0.15,2.6932025,1.2757275,0.63786375,0.737087,5.0
512,F,1.6875,1.325,0.5,51.80871125,22.8213475,10.375917,13.324265,13.0
513,I,1.375,1.0375,0.3625,21.87163925,10.319218,4.592619,5.2446575,8.0
514,I,0.9625,0.7125,0.225,8.9867915,4.57844425,1.8994165,2.48058125,7.0
515,I,0.875,0.6625,0.2375,5.443104,2.2396105,1.587572,1.70097,7.0
516,I,1.2875,0.9625,0.325,18.030282,7.04485075,4.3941725,5.25883225,11.0
517,F,1.675,1.3,0.4625,42.2124055,19.1359125,9.28446125,12.0485375,11.0
518,M,1.45,1.15,0.35,23.48756075,13.02659525,4.12485225,6.6621325,9.0
519,F,1.4875,1.1625,0.375,29.199985,12.6155275,6.2085405,8.3631025,10.0
520,I,1.0375,0.8125,0.275,9.36950975,3.98310475,2.041164,2.9766975,8.0
521,I,1.4125,1.0875,0.4,21.829115,8.7599955,4.5075705,7.087375,8.0
522,F,1.8,1.375,0.5125,54.7428845,22.5378525,12.47378,16.44271,12.0
523,M,1.75,1.3375,0.4625,45.472598,19.391058,7.47009325,12.8990225,15.0
524,I,1.0875,0.8375,0.2625,10.41844125,4.592619,2.08368825,3.118445,7.0
525,F,1.5125,1.2125,0.4875,29.15746075,10.81533425,7.01650125,10.489315,13.0
526,I,1.1625,0.9,0.3125,13.097469,5.2446575,3.2034935,4.1106775,9.0
527,M,1.3125,1.0,0.325,18.5689225,8.63242275,4.26659975,5.2446575,9.0
528,M,1.5,1.2,0.4375,32.375129,13.097469,6.973977,9.07184,10.0
529,I,1.1125,0.8625,0.3,12.99824575,5.62737575,3.44446425,3.685435,6.0
530,F,1.4375,1.175,0.3875,27.76833525,15.422128,5.5281525,6.010094,8.0
531,I,1.0375,0.775,0.25,9.5537815,4.37999775,1.88524175,2.4664065,7.0
532,I,0.825,0.6375,0.225,5.783298,2.7499015,1.17650425,1.70097,6.0
533,M,1.4375,1.1375,0.35,25.92561775,11.0846545,6.10931725,6.6621325,9.0
534,M,1.5125,1.225,0.4375,29.993771,10.75863525,7.24329725,10.9145575,16.0
535,F,1.3125,1.0,0.3375,19.85882475,7.9662095,3.7137845,5.953395,10.0
536,I,0.9375,0.7125,0.2125,6.64795775,3.345241,1.2757275,1.8994165,7.0
537,F,1.425,1.1,0.3375,24.28134675,11.3398,4.86193925,5.57067675,12.0
538,I,1.375,1.0875,0.325,24.73493875,11.453198,5.45727875,6.23689,14.0
539,F,1.4875,1.15,0.35,23.45921125,11.736693,4.5642695,6.93145275,9.0
540,I,1.1875,0.9125,0.2875,14.8834875,6.76135575,3.061746,4.6776675,8.0
541,M,1.2125,0.95,0.3375,15.66309875,6.16601625,2.9199985,4.9611625,11.0
542,F,1.3125,1.0625,0.375,22.1976585,9.979024,4.4508715,6.23689,9.0
543,M,1.5875,1.2625,0.475,36.570855,14.92601175,7.29999625,11.056305,15.0
544,M,1.35,1.05,0.375,22.43862925,9.82310175,4.23825025,6.9456275,9.0
545,F,1.5625,1.2125,0.425,30.74503275,13.19669225,7.767763,8.221355,8.0
546,F,1.2125,0.925,0.35,18.24290325,7.257472,3.72795925,4.6776675,10.0
547,I,1.05,0.8125,0.25,10.27669375,4.26659975,1.80019325,2.9766975,7.0
548,I,1.2,0.9375,0.3625,15.43630275,6.7188315,3.061746,4.819415,8.0
549,I,1.0375,0.75,0.25,9.02931575,4.9044635,2.25378525,2.6932025,7.0
550,M,1.475,1.15,0.3625,25.86891875,11.113004,6.19436575,7.2291225,9.0
551,I,0.6875,0.55,0.2125,3.6003865,1.417475,0.680388,1.14815475,7.0
552,M,1.45,1.125,0.3875,28.64716975,13.08329425,6.25106475,7.93786,10.0
553,M,1.55,1.2125,0.4625,28.73221825,12.60135275,6.23689,9.922325,10.0
554,M,1.525,1.1875,0.4125,29.3417325,12.813974,7.55514175,8.3631025,11.0
555,F,1.2,0.9375,0.3375,17.2648455,7.6827145,2.721552,6.1518415,16.0
556,F,1.5125,1.2125,0.4375,30.94347925,14.16057525,6.90310325,9.355335,11.0
557,M,1.5,1.1875,0.4,31.51046925,13.777857,6.2652395,9.7805775,14.0
558,F,1.4125,1.1125,0.4125,24.1821235,11.8784405,5.17378375,6.6621325,8.0
559,M,1.5125,1.2375,0.4,32.998818,14.92601175,6.917278,10.0640725,11.0
560,M,1.45,1.125,0.3875,29.24250925,12.47378,6.973977,8.0796075,11.0
561,M,1.6125,1.25,0.4375,31.467945,14.35902175,7.04485075,10.20582,15.0
562,F,1.6,1.2875,0.4375,42.354153,17.78931125,8.37727725,10.77281,11.0
563,F,1.525,1.2125,0.35,28.8314415,15.52135125,5.57067675,7.5126175,9.0
564,M,1.25,0.9375,0.3125,16.40018575,6.64795775,3.27436725,4.7910655,10.0
565,I,0.525,0.375,0.1125,1.190679,0.4819415,0.38271825,0.4252425,4.0
566,I,0.875,0.675,0.2125,5.8116475,2.70737725,1.1056305,1.757669,7.0
567,M,1.6125,1.275,0.4375,37.32211675,14.04717725,7.49844275,11.623295,17.0
568,I,0.675,0.5,0.15,2.8066005,1.0489315,0.5953395,0.850485,6.0
569,I,1.1875,0.9625,0.3125,17.84601025,9.2135875,3.92640575,4.37999775,9.0
570,M,1.175,0.9375,0.275,14.47241975,6.123492,3.4869885,4.3941725,8.0
571,M,1.7375,1.425,0.5,53.14113775,26.0531905,11.52407175,14.21727425,12.0
572,F,1.7375,1.325,0.475,47.400364,20.00057225,10.2908685,13.60776,11.0
573,I,1.0875,0.8375,0.275,9.8372765,4.32329875,1.644271,2.83495,7.0
574,M,1.4875,1.15,0.425,32.10580875,14.86931275,7.597666,8.50485,8.0
575,M,1.4375,1.125,0.35,27.68328675,14.16057525,5.91087075,7.087375,8.0
576,F,1.25,0.9875,0.3375,16.68368075,7.92368525,3.72795925,4.66349275,11.0
577,M,1.35,1.05,0.3,20.41164,9.90815025,4.89028875,5.6699,9.0
578,F,1.6125,1.2,0.4375,32.24755625,15.32290475,7.01650125,8.788345,10.0
579,M,1.55,1.175,0.475,39.745999,14.401546,8.32057825,10.3475675,16.0
580,F,1.675,1.3125,0.4875,37.32211675,15.03940975,9.22776225,11.623295,11.0
581,I,0.8125,0.625,0.225,8.1930055,3.515338,1.11980525,1.984465,7.0
582,F,1.6125,1.275,0.4375,39.7743485,19.03668925,8.3064035,10.77281,10.0
583,M,1.575,1.275,0.475,39.7743485,16.3009625,8.5898985,11.90679,15.0
584,M,1.475,1.15,0.375,29.823674,11.5382465,6.010094,8.788345,8.0
585,M,0.7,0.575,0.1875,3.6003865,1.360776,0.850485,1.13398,5.0
586,F,1.7375,1.375,0.475,49.25725625,19.220961,8.37727725,14.9827108,12.0
587,M,1.0125,0.775,0.25,9.8939755,3.55786225,2.48058125,2.83495,9.0
588,F,1.3625,1.05,0.3375,20.638436,6.973977,5.40057975,7.087375,15.0
589,M,1.25,0.9375,0.3375,16.9246515,5.329706,4.195726,4.9611625,12.0
590,M,1.5,1.1875,0.4,25.41532675,9.99319875,5.20213325,8.0796075,13.0
591,I,0.8375,0.625,0.225,5.40057975,2.2963095,1.31825175,1.5025235,7.0
592,F,1.5,1.1875,0.3875,33.57998275,15.77649675,6.36446275,8.0796075,9.0
593,M,1.4375,1.1,0.3875,27.895908,13.4660125,5.6982495,7.10154975,11.0
594,M,1.55,1.225,0.4125,34.3879435,13.60776,7.484268,9.7805775,17.0
595,I,0.775,0.5625,0.1625,2.8066005,1.0489315,0.52446575,1.13398,5.0
596,M,1.4125,1.0125,0.35,21.659018,9.695529,4.309124,5.10291,10.0
597,I,0.6125,0.4375,0.1625,2.2396105,0.963883,0.396893,0.56699,5.0
598,I,1.2,0.95,0.3375,17.78931125,9.76640275,3.98310475,5.2446575,8.0
599,M,1.575,1.25,0.4125,34.8415355,15.1669825,8.221355,9.4970825,11.0
600,I,1.4875,1.1625,0.375,30.4190135,12.28950825,5.8683465,8.3631025,10.0
601,F,1.4875,1.15,0.4125,31.127751,14.72756525,6.22271525,8.9300925,9.0
602,M,1.475,1.1875,0.375,32.1199835,15.46465225,6.13766675,8.3631025,10.0
603,I,1.525,1.2125,0.45,36.117263,16.4143605,7.41339425,9.07184,8.0
604,I,1.2,0.95,0.3,13.154168,5.6699,2.4097075,4.3941725,7.0
605,I,1.425,1.125,0.4,24.36639525,10.149121,6.80388,7.654365,8.0
606,I,0.5,0.3625,0.1,1.077281,0.3118445,0.18427175,0.283495,5.0
607,F,1.4125,1.075,0.3125,24.22464775,12.587178,5.06038575,6.80388,8.0
608,I,0.975,0.725,0.25,7.95203475,3.7137845,2.097863,2.4097075,7.0
609,I,1.5125,1.225,0.375,32.16250775,14.968536,5.5281525,8.9300925,10.0
610,I,0.9625,0.7125,0.2,7.9095105,3.50116325,1.88524175,2.1262125,7.0
611,M,1.575,1.2125,0.375,34.60056475,17.81766075,7.81028725,9.19941275,9.0
612,F,1.6375,1.275,0.425,46.84754875,16.726205,9.53960675,16.0174675,19.0
613,I,1.0375,0.775,0.25,9.07184,3.41611475,1.7860185,2.6932025,8.0
614,I,1.5375,1.1875,0.4125,26.3933845,10.092422,6.95980225,7.93786,13.0
615,M,1.5625,1.25,0.3875,32.715323,14.628342,7.86698625,8.9300925,11.0
616,M,1.225,0.9625,0.325,17.19397175,6.64795775,4.89028875,5.5281525,9.0
617,I,0.4,0.275,0.0875,0.49611625,0.18427175,0.15592225,0.1417475,4.0
618,I,1.0375,0.8125,0.2375,9.19941275,4.195726,1.8994165,2.96252275,8.0
619,I,0.9,0.675,0.2125,6.50621025,2.50893075,1.31825175,1.984465,6.0
620,M,1.5625,1.2125,0.3875,30.03629525,12.3887315,5.8116475,9.355335,15.0
621,M,1.5,1.225,0.425,37.42134,17.9452335,8.77417025,9.7238785,9.0
622,F,1.5,1.1875,0.4125,29.5118295,13.87708025,5.499803,9.1001895,12.0
623,M,1.4,1.1,0.3875,25.41532675,10.24834425,5.17378375,6.7755305,10.0
624,M,1.3125,1.0,0.375,22.21183325,9.87980075,4.422522,6.0951425,12.0
625,I,0.5125,0.375,0.1,1.077281,0.46776675,0.18427175,0.35436875,6.0
626,I,1.175,0.925,0.3,13.267566,5.57067675,2.96252275,4.082328,9.0
627,I,1.4875,1.2125,0.3625,30.43318825,14.16057525,6.95980225,8.3631025,11.0
628,F,1.3,1.0375,0.3125,18.3988255,7.81028725,3.9405805,7.37087,12.0
